79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;108,0,-1,-1,-1;56,0,-1,-1,-1;56,0,-1,-1,-1;56,0,-1,-1,-1;56,0,-1,1,-1;56,0,-1,-1,-1;56,0,-1,-1,-1;55,0,-1,-1,-1;56,0,-1,-1,-1;56,0,-1,-1,-1;108,0,-1,-1,-1;56,0,-1,14,-1;56,0,-1,-1,-1;56,0,-1,-1,-1;56,0,-1,-1,-1;108,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;108,0,-1,-1,-1;54,0,-1,16,-1;54,0,-1,-1,-1;54,0,-1,-1,-1;54,0,-1,2,-1;54,0,-1,-1,-1;54,0,-1,-1,-1;54,0,-1,-1,-1;54,0,-1,219,-1;54,0,-1,220,-1;108,0,-1,-1,-1;54,0,-1,15,-1;54,0,-1,40,123;54,0,-1,244,-1;54,0,-1,245,-1;108,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;108,0,-1,-1,-1;63,1,-1,-1,-1;63,0,-1,55,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,0,-1,235,235;63,0,-1,236,-1;108,0,-1,-1,-1;63,1,-1,-1,-1;63,0,-1,42,-1;84,0,-1,244,246;84,0,-1,245,247;108,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;108,0,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,108,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;108,0,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;108,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;108,0,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,38,-1;63,1,-1,38,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;108,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;108,0,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,37,-1;63,0,-1,278,123;63,0,-1,278,123;63,1,-1,36,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;108,0,-1,-1,-1;108,0,-1,197,-1;108,0,-1,185,-1;108,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;108,0,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,39,-1;63,1,-1,39,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,0,-1,203,-1;63,0,-1,201,-1;108,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;108,0,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;63,1,-1,-1,-1;108,0,-1,-1,-1;79,0,-1,-1,-1;
79,0,-1,-1,-1;108,0,-1,-1,-1;19,0,-1,-1,-1;19,0,-1,-1,-1;19,0,-1,-1,-1;19,0,-1,-1,-1;19,0,-1,-1,-1;19,0,-1,-1,-1;18,3,-1,-1,-1;17,3,-1,-1,-1;19,0,-1,-1,-1;19,0,-1,-1,-1;19,0,-1,-1,-1;19,0,-1,-1,-1;19,0,-1,-1,-1;19,0,-1,-1,-1;108,0,-1,-1,-1;79,0,-1,-1,-1;
